number,short_description,description,category,priority,severity,assignment_group,incident_state,cmdb_ci,opened_at,closed_at,sys_updated_at,close_notes
INC000001,PostgreSQL connection pool exhausted,Database connection timeout on production checkout service. Pool reached max 100 connections.,Database,1 - High,1 - Critical,Database,Closed,db-cluster-primary,2026-03-10 08:15:00,2026-03-10 09:30:00,2026-03-10 09:30:00,Increased pool max size to 250 and cleared leaked idle connections.
INC000002,High 504 Gateway Timeout on /api/v1/orders,Upstream order processing microservice failing to respond within 30s threshold.,Backend,2 - Medium,2 - High,Backend,Closed,order-service-api,2026-03-11 14:02:10,2026-03-11 15:10:00,2026-03-11 15:10:00,Restarted unhealthy worker pods and scaled replica count from 3 to 8.
INC000003,Kubernetes pod CrashLoopBackOff in ingress-controller,NGINX ingress controller pods terminating unexpectedly with OOMKilled code 137.,DevOps,1 - High,1 - Critical,DevOps,Closed,k8s-ingress-nginx,2026-03-12 11:20:00,2026-03-12 12:05:00,2026-03-12 12:05:00,Doubled memory limit to 2Gi and tuned worker_connections buffer.
INC000004,Root filesystem disk space 98% full on app-node-04,Log partition /var/log filled with unrotated application trace logs.,Infrastructure,2 - Medium,2 - High,DevOps,Closed,app-node-04,2026-03-13 03:45:12,2026-03-13 04:30:00,2026-03-13 04:30:00,Purged archived logs older than 7 days and enabled logrotate compression.
INC000005,SSO authentication failing for corporate users,SAML identity provider token signature validation failing following certificate rotation.,Security,1 - High,1 - Critical,Security,Closed,auth-idp-gateway,2026-03-14 09:00:22,2026-03-14 09:45:00,2026-03-14 09:45:00,Updated public x509 cert in IdP metadata configuration and reloaded auth service.
INC000006,Intermittent packet loss on US-East-1 VPC peering,Transit gateway routing table flapping causing 15% packet loss on internal RPCs.,Network,2 - Medium,2 - High,Network,Closed,vpc-peering-useast,2026-03-15 16:30:00,2026-03-15 17:15:00,2026-03-15 17:15:00,Flushed BGP routes and failed over to redundant direct connect circuit.
INC000007,Frontend React SPA white screen error after v2.4.0 deploy,Uncaught TypeError: window.__CONFIG__ is undefined in production bundle.,Frontend,2 - Medium,2 - High,Frontend,Closed,web-frontend-cdn,2026-03-16 10:15:30,2026-03-16 10:45:00,2026-03-16 10:45:00,Injected missing environment variables into HTML template and invalidated CDN cache.
INC000008,Redis cache node eviction rate spike causing DB overload,Memory maxmemory reached; volatile-lru policy failing to evict unexpired session keys.,Database,2 - Medium,2 - High,Database,Closed,redis-cluster-cache,2026-03-17 18:22:00,2026-03-17 19:10:00,2026-03-17 19:10:00,Upgraded cluster instance type and adjusted TTL on session keys.
INC000009,Customer reporting slow invoice generation export,PDF generation queue backlog reaching 5000 items due to single-threaded worker.,Support,3 - Low,3 - Medium,Backend,Closed,invoice-worker-job,2026-03-18 13:10:00,2026-03-18 14:00:00,2026-03-18 14:00:00,Distributed invoice generation across Celery worker cluster.
INC000010,CoreDNS resolution timeouts in staging cluster,UDP socket timeouts when resolving internal cluster.local service endpoints.,DevOps,3 - Low,3 - Medium,DevOps,Closed,k8s-coredns-staging,2026-03-19 07:45:00,2026-03-19 08:30:00,2026-03-19 08:30:00,Configured autopath plugin and increased CoreDNS replica count.
